Produkt,Białko,Węgle,Tłuszcze,Kcal
Płatki owsiane,"11,9","69,3","7,2",366
Kasza gryczana,"12,6","69,3","0,6",355
Kasza jaglana,"10,5","71,6","2,9",346
Ryż biały,"6,7","78,9","0,7",344
Ziemniaki,"1,9","18,3","0,1",77
Cieciorka,"7,1","15,2","2,1",117
Indyk pierś,"19,2",0,"0,7",84
Łosoś,"19,9",0,"13,6",201
Tuńczyk pucha,"23,5","0,1","0,5",
Soczewica,"25,4","48,6",3,327
Oliwa ,0,0,92,828
Sałata lodowa,"0,9",3,"0,1",14
Ogórek,"0,7","2,9","0,1",14
Szpinak,"2,6",3,"0,4",16
Brokuł,3,"5,2","0,4",31
Marchewka,1,"5,1","0,2",33
Słonecznik,"24,4","24,6","43,7",537
Orzech włoski,16,18,"60,3",657
Kakao (łyżka  [10g]),"1,8","5,1","2,2",45
Czosnek,"6,4","32,6","0,5",146
Cebula,"1,1","9,3","0,1",40
Makaron pełnoziarnisty świderki,"15,2",68,"1,3",345
Banan,1,"23,5","0,3",99
Płatki owsiane melvit,13,60,"5,7",363
Śledź,"19,8",0,"15,4",217
Jabłko,"0,3","13,8","0,2",52
Miód (łyżka 25g),"0,3","79,5",0,324
Kurczak,"21,5",0,"1,3",99
Ryż brązowy,"7,1","76,8","1,9",370
Makaron penne,"7,1","77,4","1,4",355
Pestki dyni,"24,5",18,"45,8",556
Kabanos,26,3,55,611
Nektarynka,"1,1","10,6","0,3",44
Groszek zielony,"4,6","12,3","0,8",86
Siemie lniane,"18,3","28,9","42,2",534
Wołowina,"20,1",0,"3,5",112
Kapusta biała,"1,7","7,4","0,2",29
Truskawka,"0,7","7,7","0,3",32
Sałata rzymska,1,3,0,17
Pomidor,"0,9","4,1","0,2",20
Truskawka,"0,7","7,7","0,3",32
Orzechy laskowe,15,17,61,628
Fasola szparagowa,"2,4","7,6","0,2",27
Sezam,"23,2",10,"59,9",632
Pulpa pomidorowa,"1,2","4,3","0,1",114
Bób,"7,9","17,6","0,7",88
Masło orzechowe,25,20,50,588
Arbuz,"0,6","7,6","0,2",30
Mozzarella,19,"0,5",26,260
